"","YHOO","GOOG","MSFT"
"260","44.67","777.9","57.44"
"261","44.63","777.8","57.495"
"262","44.66","777.5","57.45"
"263","44.54","777.87","57.42"
"264","44.435","777.9","57.43"
"265","44.475","777.7","57.44"
"266","44.57","778.3","57.49"
"267","44.57","779.23","57.48"
"268","44.56","779.5","57.48"
"269","44.56","779.28","57.495"
"270","44.58","779.09","57.49"
"271","44.56","779.35","57.49"
"272","44.52","779.5","57.4641"
"273","44.5","779.3","57.48"
"274","44.555","779.45","57.49"
"275","44.59","779.3","57.51"
"276","44.575","779.84","57.555"
"277","44.62","780.75","57.589"
"278","44.66","781.98","57.595"
"279","44.68","781.34","57.58"
"280","44.63","780.204","57.55"
"281","44.6201","780.29","57.57"
"282","44.59","780.12","57.55"
"283","44.62","780.5","57.55"
"284","44.66","780.64","57.575"
"285","44.65","780.04","57.54"
"286","44.65","780.0727","57.56"
"287","44.65","779.98","57.57"
"288","44.67","780.2","57.555"
"289","44.687","780.31","57.57"
"290","44.69","780.58","57.58"
"291","44.6435","779.86","57.555"
"292","44.63","779.6","57.55"
"293","44.63","779.12","57.5185"
"294","44.67","778.59","57.535"
"295","44.6244","779.07","57.54"
"296","44.67","778.8","57.558"
"297","44.705","779.32","57.5762"
"298","44.72","779.72","57.53"
"299","44.75","779.29","57.5452"
"300","44.7437","778.5","57.55"
"301","44.7","778.66","57.55"
"302","44.725","779.08","57.54"
"303","44.75","779.7688","57.555"
"304","44.76","779.6399","57.6"
"305","44.78","780.2115","57.58"
"306","44.82","779.75","57.575"
"307","44.8","778.7","57.55"
"308","44.73","779.32","57.5534"
"309","44.685","779.15","57.565"
"310","44.62","779.55","57.59"
"311","44.61","779.301","57.56"
"312","44.57","778.95","57.57"
"313","44.59","778.99","57.57"
"314","44.665","778.85","57.57"
"315","44.7","779.51","57.57"
"316","44.71","780.08","57.61"
"317","44.58","780.08","57.5"
"318","44.73","780.09","57.54"
"319","44.75","781.69","57.5299"
"320","44.716","780.16","57.5352"
"321","44.61","778.13","57.52"
"322","44.565","777.89","57.525"
"323","44.8","779.05","57.585"
"324","44.88","779.33","57.56"
"325","44.79","778.88","57.6"
"326","44.77","779.5","57.62"
"327","44.71","779.39","57.65"
"328","44.81","780.54","57.72"
"329","44.72","780.805","57.77"
"330","44.75","778.86","57.745"
"331","44.73","778.21","57.73"
"332","44.59","778.75","57.72"
"333","44.48","777.695","57.69"
"334","44.49","778.41","57.65"
"335","44.441","778.311","57.62"
"336","44.4901","778.34","57.655"
"337","44.535","778.53","57.645"
"338","44.49","778.35","57.63"
"339","44.38","777.57","57.56"
"340","44.395","778","57.585"
"341","44.46","778.295","57.6"
"342","44.505","778.39","57.595"
"343","44.47","778.52","57.58"
"344","44.44","778.13","57.57"
"345","44.38","778.04","57.545"
"346","44.44","777.85","57.54"
"347","44.46","778.1796","57.57"
"348","44.415","778.21","57.545"
"349","44.38","777.8405","57.5634"
"350","44.36","777.66","57.56"
"351","44.32","777.07","57.54"
"352","44.25","777","57.575"
"353","44.235","777","57.56"
"354","44.25","777","57.58"
"355","44.24","777.24","57.5735"
"356","44.23","776.81","57.609"
"357","44.31","776.68","57.59"
"358","44.35","776.84","57.595"
"359","44.34","776.89","57.575"
"360","44.285","777.2","57.5747"
"361","44.33","777.55","57.6"
"362","44.33","777.49","57.61"
"363","44.345","777.59","57.615"
"364","44.355","777.75","57.609"
"365","44.35","777.98","57.595"
"366","44.36","778.29","57.6"
"367","44.35","778.61","57.59"
"368","44.39","778.54","57.64"
"369","44.38","778.195","57.59"
"370","44.37","778.18","57.605"
"371","44.37","778.45","57.5857"
"372","44.3444","778.35","57.59"
"373","44.355","778.7","57.61"
"374","44.42","779.38","57.63"
"375","44.42","779.18","57.63"
"376","44.44","779.4433","57.6239"
"377","44.4044","779.14","57.6"
"378","44.36","778.3","57.569"
"379","44.3","778.75","57.57"
"380","44.26","778.735","57.565"
"381","44.285","778.94","57.59"
"382","44.245","779.16","57.575"
"383","44.26","779.45","57.56"
"384","44.31","779.62","57.58"
"385","44.27","779.2","57.53"
"386","44.305","779.15","57.56"
"387","44.33","779.24","57.545"
"388","44.34","779.89","57.5199"
"389","44.315","779.65","57.55"
"390","44.36","779.695","57.5601"
"391","44.33","779.44","57.59"
"392","44.31","779.23","57.565"
"393","44.33","779.85","57.585"
"394","44.36","779.82","57.615"
"395","44.35","780.35","57.66"
"396","44.073","778.53","57.65"
"397","44.2781","780.07","57.705"
"398","44.21","777.45","57.645"
"399","44.435","778.2235","57.545"
"400","44.405","776.98","57.55"
"401","44.26","775.69","57.45"
"402","44.28","776.61","57.422"
"403","44.2","776.55","57.465"
"404","44.22","775.8","57.445"
"405","44.1944","777.5","57.46"
"406","44.23","776.83","57.5"
"407","44.23","777","57.53"
"408","44.32","778","57.522"
"409","44.45","778.17","57.55"
"410","44.55","778.71","57.62"
"411","44.46","778.44","57.639"
"412","44.49","777.2","57.5799"
"413","44.5","777.53","57.56"
"414","44.57","778.41","57.6235"
"415","44.62","777.48","57.525"
"416","44.61","777.54","57.615"
"417","44.71","778.19","57.64"
"418","44.62","777.22","57.57"
"419","44.58","776.9224","57.535"
"420","44.63","776.34","57.535"
"421","44.6","776.092","57.505"
"422","44.55","775.55","57.47"
"423","44.58","775.9","57.48"
"424","44.57","775.97","57.49"
"425","44.58","776","57.48"
"426","44.56","775.96","57.465"
"427","44.53","775.91","57.48"
"428","44.525","775.3","57.425"
"429","44.525","775.335","57.42"
"430","44.53","775.7","57.385"
"431","44.52","775.91","57.4309"
"432","44.52","775.57","57.41"
"433","44.4948","775.4469","57.4"
"434","44.49","775.51","57.365"
"435","44.45","775.27","57.365"
