43.73,116.91,510.66,40.897,78,223.04
46.46,113.38,510,40.098,76.24,220.46
47.99,107.31,518.63,41.529,75.78,222.62
49.44,111.21,535.21,45.764,77.5,226.36
48.95,111.09,539.95,45.93,77.83,232.22
48.89,110.52,534.39,45.881,77.65,224.94
48.18,107.71,518.04,44.703,76.74,219.2
47.63,106.9,506.9,45.161,76.24,213.06
46.47,104.21,508.08,45.015,75.18,214.18
46.23,105.03,501.79,44.275,74.05,213.21
47.51,107.96,500.87,44.742,76.28,219.43
48.3,108.37,496.18,45.131,76.45,223
48.8,107.42,492.55,45.365,76.72,223.13
49.72,110.13,496.17,45.939,77.74,227.13
50.23,110.02,502.68,46.329,78.18,227.05
48.59,105.94,501.1,45.005,76.15,222.16
49.21,104.48,501.96,44.44,76.15,219.51
49.13,104.47,513.87,45.102,77.19,227.51
50.17,107.5,524.81,45.521,78.45,229.65
50.51,108.53,526.4,45.219,78.02,229.71
51.22,110.63,530.42,45.774,79.22,232.67
50.53,112,530.33,46.192,80.02,233.34
50.86,112.08,534.03,46.611,80.78,235.25
50.65,110.13,528.77,46.864,80.77,231.83
50.02,110.65,530.59,47.166,80.61,231.49
51.15,111.05,524.87,46.708,81.45,233
50.88,109.91,516.35,46.397,79.88,234.61
50.91,110.76,511.1,46.261,78.4,231.84
50.12,107.58,504.89,44.528,76.11,219.78
48.85,104.96,495.39,43.963,74.69,215.57
49.82,106.42,513.8,45.433,76.99,218.02
50.24,107.89,518.66,45.706,77.83,219.9
49.94,109.75,528.34,45.92,77.73,217.36
49.21,110.07,526.06,45.657,76.18,215.07
50.51,112.21,533.37,46.329,76.84,215.47
49.62,110.52,526.98,46.436,76.52,211.94
50.99,113.07,525.26,47.137,76.36,218.08
50.41,113.56,537.31,47.546,75.24,218.83
50.28,113.99,531.32,46.806,74.88,217.74
50.67,112.71,533.75,47.176,75.46,215.02
50.1,113.14,533.8,47.331,75.1,216.81
51.74,116.94,541.83,46.543,77.7,226.27
51.93,117.01,540.37,46.485,77.62,226.34
51.72,115.63,541.08,46.212,75.63,224.35
